Date,Dividends
2013-08-05,0.225000
2013-05-03,0.225000
2013-02-05,0.225000
2012-11-05,0.225000
2012-08-03,0.225000
2012-05-03,0.210000
2012-02-03,0.210000
2011-11-03,0.210000
2011-08-03,0.210000
2011-05-04,0.181000
2011-02-03,0.181000
2010-11-03,0.158000
2010-08-04,0.158000
2010-05-05,0.158000
2010-02-03,0.158000
2009-11-04,0.140000
2009-08-05,0.140000
2009-05-05,0.140000
2009-02-04,0.140000
2008-11-05,0.140000
2008-08-05,0.140000
2008-05-05,0.140000
2008-02-05,0.128000
2007-11-05,0.113000
2007-08-03,0.113000
2007-05-03,0.113000
2007-02-05,0.113000
2006-11-03,0.100000
2006-08-03,0.100000
2006-05-03,0.100000
2006-02-03,0.100000
2005-11-03,0.080000
2005-08-03,0.080000
2005-05-04,0.080000
2005-02-03,0.080000
2004-11-03,0.040000
2004-08-04,0.040000
2004-05-05,0.040000
2004-02-04,0.040000
2003-11-05,0.020000
2003-08-05,0.020000
2003-05-05,0.020000
2003-02-05,0.020000
2002-11-05,0.020000
2002-08-05,0.020000
2002-05-03,0.020000
2002-02-05,0.020000
2001-11-05,0.020000
2001-08-03,0.020000
2001-05-03,0.020000
2001-02-05,0.020000
2000-11-03,0.020000
2000-08-03,0.020000
2000-05-03,0.015000
2000-02-03,0.015000
