Date,Dividends
2013-06-04,0.390000
2013-03-12,0.390000
2012-11-27,0.290000
2012-08-28,0.290000
2012-05-29,0.290000
2012-03-06,0.290000
2011-11-29,0.290000
2011-08-30,0.250000
2011-06-14,0.250000
2011-03-08,0.250000
2010-11-30,0.236000
2010-08-31,0.236000
2010-06-01,0.236000
2010-03-09,0.236000
2009-12-01,0.225000
2009-09-01,0.225000
2009-06-09,0.225000
2009-03-10,0.225000
2008-12-02,0.225000
2008-09-02,0.225000
2008-06-03,0.225000
2008-03-11,0.225000
2007-11-27,0.225000
2007-08-28,0.225000
2007-06-05,0.225000
2007-03-06,0.225000
2006-11-28,0.225000
2006-09-05,0.150000
2006-06-06,0.150000
2006-03-07,0.150000
2005-11-29,0.100000
2005-08-30,0.100000
2005-06-07,0.100000
2005-03-08,0.100000
2004-11-30,0.085000
2004-08-31,0.085000
2004-06-08,0.085000
2004-03-09,0.070000
2003-12-02,0.070000
2003-09-02,0.070000
2003-06-10,0.060000
2003-03-11,0.060000
2002-12-03,0.060000
2002-09-03,0.050000
2002-06-11,0.050000
2002-03-12,0.050000
2001-11-28,0.050000
2001-08-28,0.040000
2001-06-12,0.040000
2001-03-06,0.040000
2000-11-28,0.040000
2000-08-29,0.040000
2000-06-13,0.040000
2000-03-07,0.040000
