Date,Dividends
2013-08-07,0.950000
2013-05-08,0.950000
2013-02-06,0.850000
2012-11-07,0.850000
2012-08-08,0.850000
2012-05-08,0.850000
2012-02-08,0.750000
2011-11-08,0.750000
2011-08-08,0.750000
2011-05-06,0.750000
2011-02-08,0.650000
2010-11-08,0.650000
2010-08-06,0.650000
2010-05-06,0.650000
2010-02-08,0.550000
2009-11-06,0.550000
2009-08-06,0.550000
2009-05-06,0.550000
2009-02-06,0.500000
2008-11-06,0.500000
2008-08-06,0.500000
2008-05-07,0.500000
2008-02-06,0.400000
2007-11-07,0.400000
2007-08-08,0.400000
2007-05-08,0.400000
2007-02-07,0.300000
2006-11-08,0.300000
2006-08-08,0.300000
2006-05-08,0.300000
2006-02-08,0.200000
