Date,Dividends
2013-07-02,0.380000
2013-04-03,0.300000
2013-01-02,0.300000
2012-10-03,0.300000
2012-07-03,0.300000
2012-04-03,0.300000
2012-01-04,0.250000
2011-10-04,0.250000
2011-07-01,0.250000
2011-04-04,0.250000
2011-01-04,0.050000
2010-10-04,0.050000
2010-07-01,0.050000
2010-04-01,0.050000
2010-01-04,0.050000
2009-10-02,0.050000
2009-07-01,0.050000
2009-04-02,0.050000
2009-01-02,0.380000
2008-10-02,0.380000
2008-07-01,0.380000
2008-04-02,0.380000
2008-01-02,0.380000
2007-10-03,0.380000
2007-07-03,0.380000
2007-04-03,0.340000
2007-01-03,0.340000
2006-10-04,0.340000
2006-07-03,0.340000
2006-04-04,0.340000
2006-01-04,0.340000
