Date,Dividends
2013-07-08,0.450000
2013-04-08,0.450000
2013-01-08,0.450000
2012-10-05,0.440000
2012-07-06,0.440000
2012-04-05,0.440000
2012-01-06,0.440000
2011-10-05,0.430000
2011-07-06,0.430000
2011-04-06,0.430000
2011-01-06,0.430000
2010-10-06,0.420000
2010-07-07,0.420000
2010-04-07,0.420000
2010-01-06,0.420000
2009-10-07,0.410000
2009-07-08,0.410000
2009-04-07,0.410000
2009-01-07,0.410000
2008-10-08,0.400000
2008-07-08,0.400000
2008-04-08,0.400000
2008-01-08,0.400000
2007-10-05,0.355000
2007-07-06,0.355000
2007-04-05,0.355000
2007-01-08,0.355000
2006-10-05,0.333000
2006-07-06,0.333000
2006-04-06,0.333000
2006-01-06,0.333000
