Date,Dividends
2013-07-18,0.600000
2013-04-18,0.520000
2012-12-20,0.520000
2012-10-18,0.520000
2012-07-18,0.520000
2012-04-19,0.460000
2012-01-18,0.460000
2011-10-20,0.460000
2011-07-18,0.460000
2011-04-20,0.440000
2011-01-18,0.440000
2010-10-21,0.440000
2010-07-16,0.440000
2010-04-22,0.420000
2010-01-15,0.420000
2009-10-22,0.420000
2009-07-16,0.420000
2009-04-16,0.420000
2009-01-15,0.420000
2008-10-16,0.420000
2008-07-17,0.420000
2008-04-17,0.360000
2008-01-17,0.360000
2007-10-18,0.360000
2007-07-18,0.360000
2007-04-19,0.300000
2007-01-18,0.300000
2006-10-19,0.300000
2006-07-18,0.300000
2006-04-20,0.250000
2006-01-18,0.250000
2005-10-20,0.250000
2005-07-20,0.250000
2005-04-21,0.205000
2005-01-18,0.205000
2004-10-21,0.205000
2004-07-16,0.205000
2004-04-22,0.185000
2004-01-15,0.185000
2003-10-16,0.185000
2003-07-17,0.175000
2003-04-16,0.175000
2003-01-16,0.175000
2002-10-17,0.175000
2002-07-18,0.175000
2002-04-18,0.175000
2002-01-17,0.175000
2001-10-18,0.175000
2001-07-18,0.175000
2001-04-19,0.170000
2001-01-18,0.170000
2000-10-18,0.170000
2000-07-18,0.170000
2000-04-19,0.162500
2000-01-18,0.162500
